                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2074,                 10.954,                 1.0836,                0.00167,                    0.5,                0.00229,                0.00086,                 2.6974,                 6.6117,                 1.0513,                 0.0982,                 0.0002,                 0.0002
                      1,                 2.5259,                 9.0455,                 1.0773,                0.00167,                    0.5,                0.00229,                0.00084,                 2.6974,                 6.5781,                  1.046,               0.095498,             0.00049752,             0.00049752
                      2,                 2.1124,                 9.3865,                0.98339,                0.00167,                    0.5,                0.00232,                0.00085,                 2.6971,                 6.5886,                  1.049,               0.092792,             0.00079208,             0.00079208
                      3,                 2.1255,                  9.253,                  1.007,                0.00111,                0.33333,                0.00144,                0.00088,                 2.5646,                 6.4439,                 1.1492,               0.090084,              0.0010837,              0.0010837
                      4,                 1.8589,                 6.7494,                0.96458,                0.00111,                0.33333,                0.00109,                0.00048,                 2.3018,                 6.0701,                 1.1063,               0.087372,              0.0013723,              0.0013723
                      5,                 1.8302,                 4.9299,                 1.1143,                0.00377,                      1,                0.06823,                0.02476,                  1.821,                 3.6432,                 1.0404,               0.084658,              0.0016579,              0.0016579
                      6,                 1.3305,                 3.6718,                0.94473,                      1,                0.81684,                  0.955,                0.43146,                 1.8434,                 1.9359,                0.97541,               0.081941,              0.0019406,              0.0019406
                      7,                 1.6001,                  2.795,                0.87901,                0.99419,                      1,                  0.995,                0.47192,                 1.8871,                 1.6535,                 0.9854,                0.07922,              0.0022203,              0.0022203
                      8,                 1.4748,                 2.1485,                0.87539,                      1,                0.99638,                  0.995,                 0.4817,                 1.8828,                 1.7441,                 0.9607,               0.076497,               0.002497,               0.002497
                      9,                 1.7395,                 2.7077,                0.95071,                 0.9607,                      1,                  0.995,                0.69713,                  1.242,                  1.452,                0.92785,               0.073771,              0.0027708,              0.0027708
                     10,                 1.2484,                 1.4917,                0.83776,                      1,                0.98293,                  0.995,                0.75794,                 1.0561,                 1.1724,                0.91089,               0.071042,              0.0030416,              0.0030416
                     11,                 1.4267,                  1.736,                0.91066,                0.84048,                      1,                  0.995,                0.70065,                 1.2129,                 1.7061,                0.90025,               0.068309,              0.0033094,              0.0033094
                     12,                 1.8385,                  1.972,                 1.0321,                0.96792,                0.83333,                0.97214,                0.66433,                 1.1866,                 1.5235,                0.89546,               0.065574,              0.0035743,              0.0035743
                     13,                 1.5316,                 2.0211,                0.92162,                0.95748,                      1,                  0.995,                0.75966,                 1.0342,                 1.1338,                0.88793,               0.062836,              0.0038362,              0.0038362
                     14,                 1.4875,                 1.2032,                0.96523,                0.95748,                      1,                  0.995,                0.75966,                 1.0342,                 1.1338,                0.88793,               0.060095,              0.0040951,              0.0040951
                     15,                 1.3583,                 1.5075,                0.88588,                      1,                0.99033,                  0.995,                0.61128,                 1.2989,                 1.2157,                0.90197,               0.057351,               0.004351,               0.004351
